Date,"Cushing, OK Crude Oil Future Contract ($/Bar.)",U.S. Field Production of Crude Oil (1k Bar.),Product Supplied of Crude Oil and Petroleum Products (1k Bar.),Operable Crude Oil Distillation Capacity (1k Bar./Calendar Day),Operating Crude Oil Distillation Capacity (1k Bar./Day),Gross Inputs to Refineries (1k Bar./Day),predicted_wti_futures_price
9/1/2015,45.5,284398,583075,18138,18028,16427,60.90562125
10/1/2015,46.3,291410,603560,18133,17939,15691,56.99816255
11/1/2015,42.9,279975,573163,18186,17860,16683,55.04852144
12/1/2015,37.3,287528,607466,18186,18044,16842,53.15263447
1/1/2016,31.8,285245,590952,18317,18165,16297,52.85402834
2/1/2016,30.6,262841,575396,18317,18095,16179,51.98794292
3/1/2016,38,281716,612347,18319,18074,16287,49.89367023
4/1/2016,41.1,266122,580388,18319,17606,16223,49.92753535
5/1/2016,46.8,273781,599120,18319,18085,16477,49.53069807
6/1/2016,48.8,260163,594972,18433,18181,16803,49.77241257
7/1/2016,44.8,268470,612364,18433,18281,17000,50.57509369
8/1/2016,44.8,269331,628109,18433,18313,16976,52.72054252
9/1/2016,45.2,256249,593243,18456,18326,16687,54.83877786
10/1/2016,49.9,272860,610208,18471,18180,15783,55.70255221
11/1/2016,45.9,267035,590579,18491,17955,16545,57.20398244
12/1/2016,52.2,273244,619556,18510,18358,16896,58.35820473
1/1/2017,52.6,275058,597976,18617,18314,16462,60.52315133
2/1/2017,53.5,255059,536096,18617,18169,15827,62.0931638
3/1/2017,49.7,284208,621782,18621,18420,16421,63.87495301
4/1/2017,51.1,273090,588635,18621,18420,17276,66.39270236
5/1/2017,48.5,284718,621449,18557,18338,17514,68.21068968
6/1/2017,45.2,273309,616953,18567,18300,17527,69.35220844
7/1/2017,46.7,286635,623884,18567,18300,17659,69.51833802
8/1/2017,48.1,286596,628494,18571,18448,17243,69.70105094
9/1/2017,49.9,285487,588882,18496,15927,15788,69.74945893
10/1/2017,51.7,299429,619097,18497,18251,16343,68.121626
11/1/2017,56.5,302310,609308,18505,18356,17127,66.53910014
12/1/2017,57.9,309359,629896,18543,18511,17562,65.23965754
1/1/2018,63.5,309881,637495,18598,18567,16917,64.25292879
2/1/2018,62.2,287727,551408,18598,18491,16360,62.87504535
3/1/2018,62.9,324296,642668,18598,18561,16945,60.66305107
4/1/2018,66.3,314803,601151,18598,18561,17101,61.83281819
5/1/2018,69.9,323159,627787,18598,18517,17341,62.76624988
6/1/2018,67.3,318837,623108,18598,18523,18041,65.32455619
7/1/2018,70.7,337540,640813,18598,18517,17688,67.63287278
8/1/2018,67.8,352575,662039,18601,18520,17969,69.74726854
9/1/2018,70.1,342660,602523,18601,18526,17383,70.86871908
10/1/2018,70.8,356138,644360,18603,18090,16735,72.92014569
11/1/2018,56.6,356028,623226,18603,18528,17500,73.07274897
12/1/2018,48.7,369644,630152,18603,18528,17749,72.32104288
1/1/2019,51.6,367286,639064,18808,18698,17111,71.12711931
2/1/2019,55,326272,567948,18808,18296,16160,69.00260534
3/1/2019,58.2,368867,625463,18808,18621,16323,64.62892994
4/1/2019,63.9,363737,609978,18808,18498,16691,63.86520047
5/1/2019,60.9,376362,632000,18808,18495,17043,62.23046361
6/1/2019,54.7,365366,619619,18808,18692,17699,61.81460394
7/1/2019,57.5,368765,642772,18808,18692,17687,61.74406168
8/1/2019,54.8,386725,655895,18808,18363,17833,61.93185381
9/1/2019,57,377169,607454,18808,18363,16728,62.49437089
10/1/2019,54,395900,642134,18808,18138,16128,60.67300473
11/1/2019,57.1,388984,622085,18808,18173,17041,60.19388338
12/1/2019,59.8,400219,633729,18808,18221,17395,59.40364251
1/1/2020,57.5,396329,617935,18976,18549,16860,59.27491778
2/1/2020,50.5,371949,583835,18976,18506,16506,58.39215029
3/1/2020,30.4,397298,572348,18976,18452,15756,55.26539201
4/1/2020,16.7,357344,436455,18976,18494,13315,54.10218144
5/1/2020,28.5,301045,498424,18641,18163,13429,53.45699267
6/1/2020,38.3,312593,527342,18622,18154,14217,55.45486991
7/1/2020,40.8,339651,569813,18622,18154,14824,58.71114278
8/1/2020,42.4,327285,575294,18622,18190,14693,62.82989187
9/1/2020,39.6,326042,552445,18386,17103,14138,67.72990085
10/1/2020,39.6,322816,577023,18386,16898,13846,70.17382418
11/1/2020,41.1,333621,562276,18386,17586,14580,72.79461695
12/1/2020,47.1,343591,582852,18386,17626,14539,74.19632043
1/1/2021,52.1,342747,576457,18143,17735,14975,75.26274427
2/1/2021,59.1,273646,488438,18090,17526,12804,75.06209136
3/1/2021,62.4,345946,595319,18090,17035,14834,75.05414891
4/1/2021,61.7,336905,583781,18128,17553,15633,75.52258525
5/1/2021,65.2,351346,622903,18128,17843,16130,72.22735342
6/1/2021,71.4,338645,616115,18128,17910,16743,70.10459834
7/1/2021,72.4,351228,616714,18129,17943,16482,68.58046339
8/1/2021,67.7,347393,635828,18130,17914,16377,68.3095315
9/1/2021,71.5,324654,606706,18130,15800,15797,67.4593968
10/1/2021,81.2,355670,616639,18132,17133,15581,66.72255538
